"","PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","title","famsize","famsmall","mother","single","famname","totsurvive","CabinNo"
"1",1,0,3,"male",22,1,0,7.25,"S","Mr",2,1,0,0,"Braund171",0,"G"
"2",2,1,1,"female",38,1,0,71.2833,"C","Mrs",2,1,0,0,"Cumings599",1,"C"
"3",3,1,3,"female",26,0,0,7.925,"S","Ms",1,1,0,1,"Heikkinen282",0,"G"
"4",4,1,1,"female",35,1,0,53.1,"S","Mrs",2,1,0,0,"Futrelle803",1,"C"
"5",5,0,3,"male",35,0,0,8.05,"S","Mr",1,1,0,1,"Allen450",0,"G"
"6",6,0,3,"male",18,0,0,8.4583,"Q","Mr",1,1,0,1,"Moran877",0,"F"
"7",7,0,1,"male",54,0,0,51.8625,"S","Mr",1,1,0,1,"McCarthy463",0,"E"
"8",8,0,3,"male",2,3,1,21.075,"S","Master",5,0,0,0,"Palsson909",0,"G"
"9",9,1,3,"female",27,0,2,11.1333,"S","Mrs",3,1,1,0,"Johnson742",3,"G"
"10",10,1,2,"female",14,1,0,30.0708,"C","Mrs",2,1,0,0,"Nasser736",1,"F"
"11",11,1,3,"female",4,1,1,16.7,"S","Miss",3,1,0,0,"Sandstrom549",2,"G"
"12",12,1,1,"female",58,0,0,26.55,"S","Ms",1,1,0,1,"Bonnell783",0,"C"
"13",13,0,3,"male",20,0,0,8.05,"S","Mr",1,1,0,1,"Saundercock151",0,"G"
"14",14,0,3,"male",39,1,5,31.275,"S","Mr",7,0,0,0,"Andersson082",0,"F"
"15",15,0,3,"female",14,0,0,7.8542,"S","Miss",1,1,0,1,"Vestrom406",0,"E"
"16",16,1,2,"female",55,0,0,16,"S","Mrs",1,1,0,1,"Hewlett706",0,"F"
"17",17,0,3,"male",2,4,1,29.125,"Q","Master",6,0,0,0,"Rice652",0,"G"
"18",18,1,2,"male",22,0,0,13,"S","Mr",1,1,0,1,"Williams373",0,"F"
"19",19,0,3,"female",31,1,0,18,"S","Mrs",2,1,0,0,"Vander Planke763",0,"G"
"20",20,1,3,"female",25,0,0,7.225,"C","Mrs",1,1,0,1,"Masselmani649",0,"G"
"21",21,0,2,"male",35,0,0,26,"S","Mr",1,1,0,1,"Fynney865",0,"D"
"22",22,1,2,"male",34,0,0,13,"S","Mr",1,1,0,1,"Beesley698",0,"D"
"23",23,1,3,"female",15,0,0,8.0292,"Q","Ms",1,1,0,1,"McGowan923",0,"F"
"24",24,1,1,"male",28,0,0,35.5,"S","Mr",1,1,0,1,"Sloper788",0,"A"
"25",25,0,3,"female",8,3,1,21.075,"S","Miss",5,0,0,0,"Palsson909",0,"G"
"26",26,1,3,"female",38,1,5,31.3875,"S","Mrs",7,0,1,0,"Asplund077",3,"G"
"27",27,0,3,"male",8,0,0,7.225,"C","Mr",1,1,0,1,"Emir631",0,"E"
"28",28,0,1,"male",19,3,2,263,"S","Mr",6,0,0,0,"Fortune950",2,"C"
"29",29,1,3,"female",11,0,0,7.8792,"Q","Miss",1,1,0,1,"O'Dwyer959",0,"G"
